Predicted function of gene	No. of genes
Putative XP_035919409.1 leucine-rich repeat serine/threonine-protein kinase1 isoform X1	1
Putative XP_035919413.1 glutamate receptor ionotropic kainate 2-likeisoform X2	1
Putative XP_035919489.1 protein kibra isoform X1	1
Putative XP_035919565.1 carboxypeptidase M-like isoform X3 - signalP detected	1
Putative XP_035919608.1 TBC domain-containing protein kinase-like protei	1
Putative XP_035919696.1 LOW QUALITY PROTEIN: cell wall protein RBR3	1
Putative XP_035919727.1 A disintegrin and metalloproteinase with thrombospondinmotifs 7 isoform X1	1
Putative XP_035919731.1 myogenesis-regulating glycosidase isoform X1	1
Putative XP_035919737.1 nuclear speckle splicing regulatory protein 1-lik	1
Putative XP_035919741.1 tyrosine-protein phosphatase non-receptor type9 isoform X2	1
Putative XP_035919760.1 putative gustatory receptor 2a isoform X6 - signalP detected	1
Putative XP_035919770.1 graves disease carrier protein homolog isoformX2	1
Putative XP_035919820.1 alpha-16-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferaseisoform X3	1
Putative XP_035919831.1 ecdysone receptor isoform X2	1
Putative XP_035919854.1 calcium-binding mitochondrial carrier proteinAralar1 isoform X5	1
Putative XP_035919969.1 serine/threonine-protein kinase meng-po	1
Putative XP_035920016.1 serine/threonine-protein kinase ATR	1
Putative XP_035920064.1 rho GTPase-activating protein 26 isoform X2	1
Putative XP_035920078.1 enoyl-CoA hydratase domain-containing protein3 mitochondrial	1
Putative YAP binding domain	1
Putative YT521-B-like domain	1
putative zinc ring finger of msl2	1
putative zinc-dependent metalloprotease	1
putative zinc-dependent metalloprotease - signalP detected	1
Putative ZIP Zinc transporter - signalP detected	1
Putative Zona pellucida	1
